"id","created_at","updated_at","device_id","bugreport","end_time","status","os","device_type","number_meetings","sum_meetings","has_error","error","comment","ecs_arn"
"01H96TEQVNACTXG3KY6VZY2PNQ",2023-09-01 03:42:09.000 +0530,2023-09-01 03:47:11.000 +0530,"2241LZ502AN8",bugreports/2241LZ502AN8/debugarchive/2023-08-31/2023-08-31T22:06:32.410Z,2023-09-01 03:36:32.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/8411400b5c1f4660b5b65561c7eebe0c
"01H96TRPA3V52NN1THR1AH98KA",2023-09-01 03:47:35.000 +0530,2023-09-01 03:54:35.000 +0530,"2326LZ517618",bugreports/2326LZ517618/debugarchive/2023-08-31/2023-08-31T22:17:12.543Z,2023-09-01 03:47:13.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/cc32bb13065b4e3d8dc4f403f90483ea
"01H96TN6730JW5CTV0P3T4EEDT",2023-09-01 03:45:41.000 +0530,2023-09-01 03:50:08.000 +0530,"2241LZ5029V8",bugreports/2241LZ5029V8/debugarchive/2023-08-31/2023-08-31T22:15:24.877Z,2023-09-01 03:45:25.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/c2221f9e44394c53b9ff6e36517ac351
"01H96TM3DC0A3BJVPJNG6XC9N2",2023-09-01 03:45:05.000 +0530,2023-09-01 04:02:38.000 +0530,"2241LZ502CQ8",bugreports/2241LZ502CQ8/debugarchive/2023-08-31/2023-08-31T22:14:45.552Z,2023-09-01 03:44:46.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/8e797a9906fd4799b6ee2a2405ce6479
"01H96TXVTM45KC159FS50QXMQK",2023-09-01 03:50:25.000 +0530,2023-09-01 03:56:01.000 +0530,"2241LZ502AU8",bugreports/2241LZ502AU8/debugarchive/2023-08-31/2023-08-31T22:19:59.232Z,2023-09-01 03:49:59.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/da2df23d7ddd41a9925ccb7e831a80fb
"01H96TXVTPKKKW7C8AZKXWHCTN",2023-09-01 03:50:25.000 +0530,2023-09-01 03:59:35.000 +0530,"2323LZ51VTU8",bugreports/2323LZ51VTU8/debugarchive/2023-08-31/2023-08-31T22:20:15.036Z,2023-09-01 03:50:15.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/da2df23d7ddd41a9925ccb7e831a80fb
"01H96V204R2S4PJA0YRRH9VQ3T",2023-09-01 03:52:40.000 +0530,2023-09-01 03:57:02.000 +0530,"2237LZ513X08",bugreports/2237LZ513X08/debugarchive/2023-08-31/2023-08-31T22:21:01.133Z,2023-09-01 03:51:01.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/77acc853f6b7429f9687e1e39dbd212b
"01H96V7QJ2EGZZM94PH1VYAWCH",2023-09-01 03:55:48.000 +0530,2023-09-01 04:01:58.000 +0530,"2323LZ52GZL8",bugreports/2323LZ52GZL8/debugarchive/2023-08-31/2023-08-31T22:25:34.303Z,2023-09-01 03:55:34.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/d45af300550d494bab9061f19a14ac56
"01H96VP1GRVZM8C6G78CXFQPYJ",2023-09-01 04:03:37.000 +0530,2023-09-01 04:17:35.000 +0530,"2241LZ5027J8",bugreports/2241LZ5027J8/debugarchive/2023-08-31/2023-08-31T22:33:00.951Z,2023-09-01 04:03:01.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/17df67f0eb6d4f1790a3eb5cbcdea963
"01H96VT2DZYTY88AQ9W1MWW03N",2023-09-01 04:05:49.000 +0530,2023-09-01 04:09:52.000 +0530,"2237LZ513X08",bugreports/2237LZ513X08/debugarchive/2023-08-31/2023-08-31T22:35:30.707Z,2023-09-01 04:05:31.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/278bdef4cab6427ea339f55d4c5edf0f
